Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
332,Rogelio Funes Mori,FW,mx Mexico,31,1991,0.1,0,1,0,0.0,18.00,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,bf9a2406
333,Ali Al Hassan,MF,sa Saudi Arabia,25,1997,0.5,0,1,0,0.0,2.00,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,68b689fa
334,Yassine Meriah,DF,tn Tunisia,28,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,3640af28
335,Exequiel Palacios,MFDF,ar Argentina,23,1998,0.6,0,1,0,0.0,1.80,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,e82adcab
336,Germán Pezzella,DF,ar Argentina,30,1991,0.7,0,1,0,0.0,1.50,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,8c725b43
337,Jeremy Sarmiento,MFFW,ec Ecuador,19,2002,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,14.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,ac0d576d
338,Walker Zimmerman,DF,us United States,29,1993,3.1,0,1,0,0.0,0.32,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,220fa883
339,Abdessamad Ezzalzouli,FWMF,ma Morocco,20,2001,1.0,0,1,0,0.0,0.97,0.00,0.00,,13.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,bed68338
340,Diego Godín,DF,uy Uruguay,36,1986,1.7,0,1,0,0.0,0.60,0.00,0.00,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,fc4f85b1
341,Tariq Lamptey,DF,gh Ghana,21,2000,1.1,0,1,0,0.0,0.88,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,f4e433d4
342,Saša Lukić,MF,rs Serbia,25,1996,2.7,0,1,0,0.0,0.37,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,c6e8cf1f
343,Jonathan Osorio,MFFW,ca Canada,30,1992,1.3,0,1,0,0.0,0.76,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,70106ff6
344,Kamaldeen Sulemana,FW,gh Ghana,20,2002,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,21.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,a62f8bf1
345,Andre-Frank Zambo Anguissa,MF,cm Cameroon,26,1995,2.9,0,1,1,100.0,0.35,0.35,0.00,0.00,11.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,6bb2c084
346,Andrija Živković,DF,rs Serbia,25,1996,2.3,0,1,0,0.0,0.43,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,321f83a2
347,Jordan Ayew,FW,gh Ghana,30,1991,1.5,0,1,1,100.0,0.66,0.66,0.00,0.00,21.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,da052c14
348,Eden Hazard,MF,be Belgium,31,1991,1.4,0,1,1,100.0,0.73,0.73,0.00,0.00,18.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,a39bb753
