Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Kylian Mbappé,FW,fr France,23,1998,6.6,8,29,11,37.9,4.36,1.66,0.21,0.55,17.1,1,2,2,5.2,3.6,0.13,+2.8,+2.4,Matches,42fd9c7f
2,Lionel Messi,FW,ar Argentina,34,1987,7.7,7,27,13,48.1,3.52,1.70,0.11,0.23,20.9,3,4,5,6.6,2.7,0.10,+0.4,+0.3,Matches,d70ce98e
3,Olivier Giroud,FW,fr France,35,1986,4.7,4,16,6,37.5,3.44,1.29,0.25,0.67,11.0,0,0,0,3.4,3.4,0.21,+0.6,+0.6,Matches,16ceb862
4,Julián Álvarez,FW,ar Argentina,22,2000,5.2,4,11,8,72.7,2.13,1.55,0.36,0.50,12.2,0,0,0,2.6,2.6,0.24,+1.4,+1.4,Matches,15ab5a2b
5,Enner Valencia,FWMF,ec Ecuador,32,1989,2.8,3,8,3,37.5,2.82,1.06,0.25,0.67,18.9,1,1,1,2.3,1.5,0.19,+0.7,+0.5,Matches,fb485406
6,Richarlison,FW,br Brazil,25,1997,3.6,3,8,4,50.0,2.23,1.11,0.38,0.75,12.1,0,0,0,2.1,2.1,0.26,+0.9,+0.9,Matches,fa031b34
7,Gonçalo Ramos,FWMF,pt Portugal,20,2001,1.7,3,7,5,71.4,4.14,2.96,0.43,0.60,11.3,0,0,0,1.6,1.6,0.22,+1.4,+1.4,Matches,f63cda26
8,Marcus Rashford,FW,eng England,24,1997,1.6,3,11,6,54.5,7.07,3.86,0.27,0.50,16.6,2,0,0,1.6,1.6,0.15,+1.4,+1.4,Matches,a1d5bd30
9,Álvaro Morata,FW,es Spain,29,1992,2.1,3,8,5,62.5,3.89,2.43,0.38,0.60,10.3,0,0,0,1.4,1.4,0.17,+1.6,+1.6,Matches,129af0db
10,Bukayo Saka,FW,eng England,20,2001,3.2,3,7,5,71.4,2.19,1.56,0.43,0.60,14.9,0,0,0,0.6,0.6,0.09,+2.4,+2.4,Matches,bc7dc64d
11,Cody Gakpo,FWMF,nl Netherlands,23,1999,5.0,3,5,3,60.0,1.00,0.60,0.60,1.00,19.9,0,0,0,0.3,0.3,0.06,+2.7,+2.7,Matches,1971591f
12,Robert Lewandowski,FW,pl Poland,33,1988,4.0,2,10,2,20.0,2.50,0.50,0.10,0.50,18.1,1,1,2,2.9,1.4,0.14,-0.9,-0.4,Matches,8d78e732
13,Harry Kane,FW,eng England,28,1993,4.5,2,10,5,50.0,2.24,1.12,0.10,0.20,20.4,0,1,2,2.7,1.1,0.11,-0.7,-0.1,Matches,21a66f6a
14,Neymar,MF,br Brazil,30,1992,3.1,2,11,6,54.5,3.55,1.94,0.09,0.17,19.2,3,1,1,2.7,1.9,0.18,-0.7,-0.9,Matches,69384e5d
15,Breel Embolo,FW,ch Switzerland,25,1997,3.6,2,6,3,50.0,1.67,0.84,0.33,0.67,10.5,0,0,0,2.3,2.3,0.38,-0.3,-0.3,Matches,0b4f388a
16,Niclas Füllkrug,FW,de Germany,29,1993,0.8,2,8,3,37.5,10.43,3.91,0.25,0.67,10.0,0,0,0,2.2,2.2,0.27,-0.2,-0.2,Matches,4f16405e
17,Salem Al-Dawsari,MF,sa Saudi Arabia,30,1991,3.0,2,6,4,66.7,2.00,1.33,0.33,0.50,21.6,0,0,1,1.8,1.0,0.16,+0.2,+1.0,Matches,60ee859c
18,Andrej Kramarić,FWMF,hr Croatia,30,1991,5.3,2,10,4,40.0,1.90,0.76,0.20,0.50,15.1,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches,603cb947
19,Aleksandar Mitrović,FW,rs Serbia,27,1994,2.9,2,10,3,30.0,3.44,1.03,0.20,0.67,14.1,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches,3925dbd6
20,Kai Havertz,FW,de Germany,23,1999,1.1,2,5,3,60.0,4.41,2.65,0.40,0.67,13.1,0,0,0,1.4,1.4,0.27,+0.6,+0.6,Matches,fed7cb61
21,Mehdi Taremi,FW,ir IR Iran,29,1992,3.0,2,5,1,20.0,1.67,0.33,0.20,1.00,16.0,0,1,1,1.3,0.6,0.11,+0.7,+0.4,Matches,4c2a5d34
22,Giorgian De Arrascaeta,MF,uy Uruguay,28,1994,1.2,2,3,3,100.0,2.50,2.50,0.67,0.67,9.6,0,0,0,1.2,1.2,0.40,+0.8,+0.8,Matches,be8d02dd
23,Youssef En-Nesyri,FW,ma Morocco,25,1997,6.0,2,9,3,33.3,1.49,0.50,0.22,0.67,9.1,0,0,0,1.2,1.2,0.14,+0.8,+0.8,Matches,04e17fd5
24,Bruno Fernandes,FWMF,pt Portugal,27,1994,4.0,2,7,2,28.6,1.77,0.51,0.14,0.50,24.5,0,1,1,1.1,0.3,0.05,+0.9,+0.7,Matches,507c7bdf
25,Cho Guesung,FW,kr Korea Republic,24,1998,3.1,2,9,5,55.6,2.95,1.64,0.22,0.40,11.4,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Matches,ccfa8e5e
26,Ferrán Torres,FW,es Spain,22,2000,2.4,2,3,1,33.3,1.24,0.41,0.33,1.00,17.1,0,1,1,1.0,0.2,0.08,+1.0,+0.8,Matches,9e1035f8
27,Kudus Mohammed,FWMF,gh Ghana,21,2000,2.7,2,8,4,50.0,2.91,1.46,0.25,0.50,21.8,0,0,0,0.8,0.8,0.10,+1.2,+1.2,Matches,b62878a5
28,Vincent Aboubakar,FW,cm Cameroon,30,1992,1.6,2,6,3,50.0,3.80,1.90,0.33,0.67,17.8,0,0,0,0.6,0.6,0.10,+1.4,+1.4,Matches,8637e09a
29,Ritsu Doan,FW,jp Japan,23,1998,2.4,2,4,3,75.0,1.66,1.24,0.50,0.67,20.1,0,0,0,0.5,0.5,0.13,+1.5,+1.5,Matches,d01bbb6f
30,Rafael Leão,FW,pt Portugal,23,1999,1.0,2,5,2,40.0,5.11,2.05,0.40,1.00,21.2,0,0,0,0.4,0.4,0.08,+1.6,+1.6,Matches,20730eae
31,Wout Weghorst,FW,nl Netherlands,29,1992,0.7,2,2,2,100.0,2.81,2.81,1.00,1.00,12.0,0,0,0,0.2,0.2,0.10,+1.8,+1.8,Matches,c4e87b8b
32,Ismaila Sarr,FWMF,sn Senegal,24,1998,3.8,1,10,1,10.0,2.62,0.26,0.00,0.00,16.5,0,1,1,1.7,0.9,0.09,-0.7,-0.9,Matches,bfdb33aa
33,Cristiano Ronaldo,FW,pt Portugal,37,1985,3.2,1,10,2,20.0,3.10,0.62,0.00,0.00,21.0,2,1,1,1.6,0.8,0.08,-0.6,-0.8,Matches,dea698d9
34,Memphis,FW,nl Netherlands,28,1994,3.3,1,10,5,50.0,3.03,1.52,0.10,0.20,15.0,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches,8f696594
35,Dani Olmo,FW,es Spain,24,1998,4.1,1,12,6,50.0,2.94,1.47,0.08,0.17,21.4,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches,ae44e8e2
36,Marco Asensio,FW,es Spain,26,1996,2.5,1,10,2,20.0,3.93,0.79,0.10,0.50,20.1,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches,45af8a54
37,İlkay Gündoğan,MF,de Germany,31,1990,2.1,1,5,2,40.0,2.38,0.95,0.00,0.00,25.9,0,1,1,1.1,0.4,0.07,-0.1,-0.4,Matches,819b3158
38,André Ayew,MFFW,gh Ghana,32,1989,2.2,1,1,1,100.0,0.45,0.45,1.00,1.00,17.3,0,0,1,1.1,0.4,0.36,-0.1,+0.6,Matches,5dbefa9d
39,Alphonso Davies,MFDF,ca Canada,21,2000,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,21.0,1,0,1,1.1,0.3,0.09,-0.1,+0.7,Matches,d781d855
40,Manuel Akanji,DF,ch Switzerland,26,1995,4.0,1,4,1,25.0,1.00,0.25,0.25,1.00,12.3,1,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,89ac64a6
41,Randal Kolo Muani,FW,fr France,23,1998,2.0,1,4,2,50.0,1.98,0.99,0.25,0.50,13.2,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,c0b3669f
42,Phil Foden,FWMF,eng England,22,2000,2.9,1,6,1,16.7,2.09,0.35,0.17,1.00,13.8,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches,ed1e53f3
43,Christian Pulisic,FWMF,us United States,23,1998,3.5,1,9,5,55.6,2.57,1.43,0.11,0.20,17.9,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches,1bf33a9a
44,Serge Gnabry,FWMF,de Germany,26,1995,2.9,1,12,4,33.3,4.11,1.37,0.08,0.25,15.6,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches,88e357ef
45,Zakaria Aboukhlal,FWMF,ma Morocco,22,2000,0.9,1,3,2,66.7,3.42,2.28,0.33,0.50,14.9,0,0,0,1.0,1.0,0.33,0.0,0.0,Matches,c2a6033c
46,Adrien Rabiot,MF,fr France,27,1995,5.4,1,9,4,44.4,1.68,0.75,0.11,0.25,13.4,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches,8794e251
47,Vinicius Júnior,FW,br Brazil,21,2000,3.3,1,9,4,44.4,2.71,1.20,0.11,0.25,15.0,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches,7111d552
48,Ao Tanaka,MF,jp Japan,23,1998,1.9,1,1,1,100.0,0.53,0.53,1.00,1.00,1.5,0,0,0,1.0,1.0,0.96,0.0,0.0,Matches,1d36d6b6
49,Frenkie de Jong,MF,nl Netherlands,25,1997,5.3,1,2,1,50.0,0.38,0.19,0.50,1.00,14.2,0,0,0,0.9,0.9,0.44,+0.1,+0.1,Matches,1bacc518
50,Henry Martín,FW,mx Mexico,29,1992,1.6,1,4,2,50.0,2.47,1.23,0.25,0.50,9.9,0,0,0,0.9,0.9,0.23,+0.1,+0.1,Matches,b585c991
51,Hwang Hee-chan,MFFW,kr Korea Republic,26,1996,1.3,1,6,5,83.3,4.70,3.91,0.17,0.20,17.5,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches,169fd162
52,João Félix,FW,pt Portugal,22,1999,3.7,1,11,3,27.3,2.99,0.82,0.09,0.33,18.6,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches,8aafd64f
53,Ivan Perišić,FWDF,hr Croatia,33,1989,7.4,1,16,4,25.0,2.15,0.54,0.06,0.25,20.0,1,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,6fe90922
54,Jean-Charles Castelletto,DF,cm Cameroon,27,1995,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,1.1,0,0,0,0.9,0.9,0.95,+0.1,+0.1,Matches,e0f3a1f6
55,Gareth Bale,FW,wls Wales,32,1989,2.5,1,1,1,100.0,0.40,0.40,0.00,0.00,46.6,0,1,1,0.8,0.0,0.02,+0.2,0.0,Matches,a58bb1e1
56,Mohammed Salisu,DF,gh Ghana,23,1999,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,9.3,0,0,0,0.8,0.8,0.38,+0.2,+0.2,Matches,0b33f6ad
57,Kim Young-gwon,DF,kr Korea Republic,32,1990,3.9,1,2,1,50.0,0.51,0.26,0.50,1.00,10.9,0,0,0,0.8,0.8,0.38,+0.2,+0.2,Matches,9459ace1
58,Eric Maxim Choupo-Moting,FWMF,cm Cameroon,33,1989,2.8,1,3,2,66.7,1.07,0.71,0.33,0.50,9.1,0,0,0,0.8,0.8,0.28,+0.2,+0.2,Matches,0e6bc38c
59,Dušan Vlahović,FW,rs Serbia,22,2000,0.9,1,3,3,100.0,3.42,3.42,0.33,0.33,10.9,0,0,0,0.8,0.8,0.27,+0.2,+0.2,Matches,79443529
